time,open,high,low,close,volume,trades,taker_buy
1780344180000,71558.75,71559.69,71558.75,71559.69,0.00287,2,0.00287
1780344240000,71552.6,71552.6,71552.6,71552.6,4e-05,1,4e-05
1780344300000,71560.44,71560.44,71542.27,71542.27,0.00115,3,0.00013
1780344360000,71533.88,71565.17,71533.88,71553.08,0.00335,5,0.00335
1780344420000,71564.39,71564.39,71564.39,71564.39,8e-05,1,8e-05
1780344480000,71557.64,71582.33,71557.64,71582.33,0.00615,3,0.00615
1780344540000,71569.32,71569.32,71555.65,71555.65,0.04007,3,0.04007
1780344600000,71552.54,71552.54,71545.86,71545.86,0.00224,3,0.00224
1780344660000,71541.11,71543.14,71541.11,71543.14,0.02568,2,0.0007
1780344720000,71581.39,71581.39,71581.39,71581.39,8e-05,1,8e-05
1780344780000,71589.05,71589.05,71550.68,71550.68,0.00097,2,0.0007
1780344840000,71580.22,71580.22,71580.22,71580.22,0.00027,1,0.00027
1780344900000,71604.9,71604.9,71547.39,71547.39,0.12973,2,0.00349
1780344960000,71570.2,71570.2,71570.2,71570.2,8e-05,1,8e-05
1780345020000,71518.22,71532.54,71516.59,71532.54,0.14034,3,0.00036
1780345080000,71566.17,71577.24,71551.29,71553.53,0.09781,16,0.00279
1780345140000,71594.15,71626.79,71594.15,71626.79,0.00737,4,0.0071
1780345200000,71626.23,71626.23,71611.69,71625.37,0.00473,4,8e-05
1780345320000,71633.67,71672.67,71633.67,71672.67,0.00049,4,0.00041
1780345380000,71700.36,71700.36,71665.92,71665.92,0.00034,3,0.00034
1780345440000,71635.3,71635.3,71635.3,71635.3,0.00307,1,0.00307
1780345500000,71608.46,71608.46,71608.46,71608.46,0.00041,1,0.0
1780345560000,71600.2,71600.2,71572.19,71572.19,0.01459,4,0.00037
1780345620000,71557.19,71557.19,71557.19,71557.19,0.00027,1,0.0
1780345740000,71594.14,71606.62,71571.61,71606.62,0.087,5,0.00022
1780345800000,71617.92,71617.92,71617.91,71617.91,0.00038,2,0.00035
1780345920000,71617.92,71617.92,71597.65,71597.65,0.01181,5,0.00415
1780346100000,71615.64,71615.64,71615.64,71615.64,0.0002,1,0.0002
1780346160000,71643.61,71663.98,71643.61,71663.98,0.03341,3,0.00039
1780346220000,71666.4,71666.4,71633.08,71633.08,0.00461,5,0.00145
1780346280000,71633.1,71633.1,71631.66,71631.66,0.05981,2,0.0
1780346340000,71643.17,71643.17,71643.17,71643.17,9e-05,1,9e-05
1780346400000,71610.78,71610.78,71597.17,71597.17,0.11942,8,0.0
1780346460000,71627.47,71627.47,71627.45,71627.45,0.03117,2,0.03117
1780346520000,71601.08,71601.08,71590.05,71590.05,0.00458,3,0.00046
1780346580000,71589.79,71589.79,71589.79,71589.79,0.00027,1,0.00027
1780346640000,71615.21,71615.21,71615.21,71615.21,0.00139,1,0.00139
1780346700000,71618.36,71618.36,71618.36,71618.36,0.00148,2,0.00148
1780346880000,71566.11,71566.11,71566.11,71566.11,0.00027,1,0.0
1780346940000,71596.7,71596.7,71596.7,71596.7,8e-05,1,8e-05
1780347060000,71574.73,71578.51,71574.73,71578.51,0.00035,2,0.00035
1780347240000,71555.8,71555.8,71536.48,71536.48,0.01453,2,0.01453
1780347300000,71500.0,71503.83,71495.67,71503.83,0.00065,3,9e-05
1780347360000,71496.44,71496.44,71496.44,71496.44,0.00027,1,0.0
