time,open,high,low,close,volume,trades,taker_buy
1778124180000,0.1104,0.1104,0.11031,0.11031,7781.0,5,0.0
1778124240000,0.11032,0.11032,0.11032,0.11032,108.0,1,108.0
1778124300000,0.11035,0.11044,0.11032,0.11037,215786.0,7,213146.0
1778124360000,0.11042,0.1105,0.11042,0.1105,95.0,3,57.0
1778124540000,0.11053,0.11053,0.11053,0.11053,38.0,1,0.0
1778124600000,0.11062,0.11102,0.1106,0.11076,257022.0,28,157615.0
1778124660000,0.11076,0.11081,0.11076,0.11076,38273.0,13,37.0
1778124720000,0.11076,0.11076,0.11056,0.11056,117264.0,8,50.0
1778124780000,0.1106,0.1106,0.11057,0.11057,14433.0,3,0.0
1778124840000,0.11056,0.11056,0.11045,0.11052,25113.0,10,0.0
1778124960000,0.11065,0.11066,0.11065,0.11066,216847.0,3,216847.0
1778125140000,0.11065,0.11065,0.11065,0.11065,1425.0,1,0.0
1778125200000,0.11072,0.11072,0.11072,0.11072,221813.0,1,221813.0
1778125500000,0.11079,0.11079,0.11079,0.11079,18.0,1,18.0
1778125620000,0.11074,0.11074,0.11074,0.11074,221692.0,1,221692.0
1778125800000,0.11073,0.11073,0.11073,0.11073,9030.0,1,9030.0
1778125860000,0.11072,0.11072,0.11072,0.11072,18.0,1,18.0
1778125920000,0.11057,0.11057,0.11057,0.11057,1006.0,1,0.0
1778126040000,0.11055,0.11055,0.11055,0.11055,75.0,1,0.0
1778126160000,0.11048,0.11048,0.11048,0.11048,747.0,1,0.0
1778126220000,0.11039,0.11039,0.11039,0.11039,75.0,1,0.0
1778126400000,0.11035,0.11035,0.11035,0.11035,747.0,1,0.0
1778126460000,0.11039,0.11039,0.11039,0.11039,108.0,1,108.0
1778126580000,0.11028,0.11028,0.11028,0.11028,13119.0,2,0.0
1778126640000,0.11021,0.11021,0.1102,0.1102,77.0,2,0.0
1778126700000,0.1102,0.1102,0.11015,0.11015,5909.0,4,0.0
1778127000000,0.11038,0.11038,0.11038,0.11038,1924.0,1,0.0
1778127240000,0.11067,0.11067,0.11067,0.11067,1949.0,2,0.0
1778127480000,0.11067,0.11067,0.11067,0.11067,13553.0,2,0.0
1778127840000,0.11073,0.11073,0.11073,0.11073,854.0,1,854.0
1778128020000,0.11069,0.1107,0.11069,0.1107,2107.0,2,0.0
1778128140000,0.11073,0.11073,0.11073,0.11073,1965.0,1,0.0
1778128200000,0.11072,0.11072,0.11072,0.11072,90.0,1,0.0
1778128680000,0.11079,0.11079,0.11079,0.11079,108.0,1,108.0
1778128920000,0.11068,0.11068,0.11068,0.11068,1000.0,1,1000.0
1778128980000,0.11067,0.11067,0.11067,0.11067,239222.0,1,239222.0
1778129340000,0.1108,0.1108,0.1108,0.1108,222171.0,2,222171.0
1778129880000,0.11079,0.11079,0.11079,0.11079,206586.0,1,206586.0
1778130060000,0.11081,0.11081,0.11081,0.11081,45.0,1,45.0
1778130120000,0.1108,0.11091,0.1108,0.11091,74.0,2,37.0
1778130180000,0.111,0.111,0.111,0.111,45.0,1,45.0
1778130240000,0.11086,0.11086,0.11086,0.11086,2837.0,1,2837.0
1778130420000,0.1108,0.11081,0.1108,0.11081,211265.0,2,211265.0
1778130660000,0.11094,0.11101,0.11094,0.11101,534.0,3,37.0
1778130720000,0.11107,0.11113,0.11107,0.11113,74.0,2,37.0
1778130780000,0.11123,0.11135,0.11123,0.11135,74.0,2,37.0
1778130900000,0.11121,0.11131,0.11121,0.11131,2526.0,3,107.0
1778130960000,0.11134,0.11134,0.11131,0.11131,195702.0,2,195702.0
1778131200000,0.11117,0.11135,0.11116,0.11116,168993.0,6,168982.0
1778131260000,0.11113,0.11113,0.11107,0.11113,14498.0,5,65.0
