time,open,high,low,close,volume,trades,taker_buy
1780104180000,2018.77,2018.77,2018.77,2018.77,0.0014,1,0.0
1780104300000,2019.26,2019.26,2019.26,2019.26,0.0631,1,0.0631
1780104420000,2019.71,2019.74,2019.71,2019.74,0.0679,4,0.0392
1780104480000,2020.3,2020.3,2020.29,2020.29,0.0652,2,0.0603
1780104600000,2020.31,2020.31,2019.94,2019.94,0.0512,4,0.0414
1780104660000,2020.57,2021.25,2020.57,2020.77,0.9037,5,0.441
1780104720000,2021.64,2021.64,2021.64,2021.64,0.0049,1,0.0
1780104780000,2021.63,2021.63,2021.63,2021.63,0.0049,1,0.0
1780104840000,2020.95,2020.95,2020.95,2020.95,0.0049,1,0.0
1780104900000,2021.0,2021.0,2021.0,2021.0,0.0089,1,0.0089
1780104960000,2020.97,2020.97,2020.97,2020.97,0.0049,1,0.0
1780105080000,2020.77,2020.77,2020.77,2020.77,0.0049,1,0.0
1780105140000,2020.8,2020.86,2019.08,2019.08,0.064,6,0.0247
1780105200000,2018.69,2018.69,2018.69,2018.69,0.0049,1,0.0
1780105260000,2019.02,2019.02,2019.02,2019.02,0.0049,1,0.0
1780105320000,2018.35,2018.35,2018.35,2018.35,0.0049,1,0.0
1780105380000,2017.87,2017.87,2017.87,2017.87,0.0049,1,0.0
1780105440000,2017.68,2017.68,2017.31,2017.31,0.6891,2,0.0
1780105500000,2017.87,2018.28,2017.87,2018.28,0.0695,2,0.0695
1780105560000,2019.1,2019.1,2019.1,2019.1,0.0049,1,0.0
1780105620000,2019.25,2019.45,2019.25,2019.45,0.0018,2,0.0018
1780105740000,2019.79,2019.79,2019.79,2019.79,0.0049,1,0.0
1780105800000,2019.89,2019.89,2019.89,2019.89,0.0049,1,0.0
1780105860000,2019.01,2019.01,2018.62,2018.62,0.0197,3,0.0099
1780105980000,2018.37,2018.37,2018.37,2018.37,0.0049,1,0.0
1780106100000,2019.53,2019.53,2019.53,2019.53,0.0148,1,0.0148
1780106160000,2019.44,2019.44,2019.44,2019.44,0.0049,1,0.0
1780106400000,2019.59,2019.87,2019.59,2019.87,0.2026,3,0.1977
1780106460000,2020.5,2020.5,2020.5,2020.5,0.0049,1,0.0049
1780106700000,2020.91,2020.91,2020.91,2020.91,0.0247,1,0.0247
1780106760000,2020.9,2020.9,2020.9,2020.9,0.0049,1,0.0
1780106880000,2020.67,2020.67,2020.67,2020.67,0.0049,1,0.0
1780106940000,2020.29,2020.29,2020.29,2020.29,0.0048,1,0.0
1780107060000,2020.84,2020.84,2020.84,2020.84,0.0049,1,0.0
1780107240000,2020.66,2020.66,2020.66,2020.66,0.0049,1,0.0
1780107480000,2020.31,2020.31,2020.31,2020.31,0.0014,1,0.0014
1780107540000,2020.37,2020.37,2020.37,2020.37,0.0049,1,0.0
1780107600000,2019.7,2019.7,2019.03,2019.03,0.2334,2,0.2285
1780107660000,2018.86,2018.86,2018.83,2018.83,0.0055,2,0.0
1780107720000,2018.25,2018.25,2018.25,2018.25,0.0049,1,0.0
1780108680000,2020.43,2020.43,2020.43,2020.43,0.0247,1,0.0247
1780108740000,2020.42,2020.42,2020.42,2020.42,0.0049,1,0.0
1780108860000,2020.16,2020.16,2020.16,2020.16,0.0049,1,0.0
1780109040000,2020.75,2020.75,2020.75,2020.75,0.0049,1,0.0
1780109340000,2020.16,2020.16,2020.16,2020.16,0.0049,1,0.0
1780109520000,2020.08,2020.08,2020.08,2020.08,0.0023,1,0.0023
1780109880000,2020.9,2020.9,2020.9,2020.9,0.0049,1,0.0049
1780110000000,2021.33,2022.21,2021.33,2022.21,0.0967,3,0.0918
1780110060000,2021.9,2021.9,2021.9,2021.9,0.0049,1,0.0
1780110120000,2021.11,2021.11,2019.51,2019.51,1.1425,5,0.3827
1780110180000,2021.45,2021.45,2021.1,2021.1,0.0098,2,0.0
1780110240000,2021.17,2022.12,2021.17,2022.12,2.1067,3,2.1067
1780110300000,2022.23,2022.23,2021.5,2021.5,0.0147,3,0.0
1780110360000,2021.07,2021.48,2021.07,2021.48,1.7967,3,1.046
1780110600000,2021.97,2021.97,2021.97,2021.97,0.0429,1,0.0429
1780110720000,2022.42,2022.5,2022.42,2022.5,0.0286,3,0.0237
1780110900000,2022.58,2022.58,2021.95,2021.95,4.126,4,0.0
1780110960000,2022.54,2022.54,2021.34,2021.34,0.0197,3,0.0
1780111020000,2021.55,2021.55,2020.82,2020.82,0.0197,2,0.0
1780111140000,2021.62,2021.62,2021.23,2021.23,0.0148,2,0.0
1780111200000,2021.96,2023.48,2021.96,2023.48,0.1079,3,0.1079
1780111260000,2023.18,2023.18,2022.3,2022.3,0.091,3,0.0
1780111320000,2022.47,2022.47,2021.42,2021.42,0.0197,3,0.0
1780111380000,2021.76,2021.76,2021.04,2021.04,0.0197,3,0.0
1780111620000,2021.22,2021.22,2020.99,2020.99,0.0472,2,0.0423
1780111740000,2020.67,2020.67,2020.67,2020.67,0.0049,1,0.0
1780111800000,2019.98,2019.98,2018.02,2018.02,0.6747,4,0.655
1780111860000,2018.67,2018.67,2018.67,2018.67,0.0197,2,0.0
1780111920000,2018.17,2018.17,2016.18,2016.79,0.4116,6,0.3157
1780112040000,2017.5,2018.04,2017.43,2017.43,0.1195,3,0.1146
1780112160000,2017.25,2017.25,2016.2,2016.2,0.0543,4,0.0
1780112220000,2016.46,2016.46,2016.44,2016.44,0.0148,2,0.0
1780112280000,2016.74,2016.74,2016.52,2016.52,0.0148,2,0.0
1780112340000,2016.82,2016.82,2016.82,2016.82,0.0127,1,0.0
1780112400000,2016.86,2016.86,2016.39,2016.39,0.0344,2,0.0295
1780112460000,2016.17,2016.17,2016.17,2016.17,0.0049,1,0.0
1780112520000,2015.64,2015.64,2015.64,2015.64,0.0049,1,0.0
1780112640000,2015.8,2015.8,2015.29,2015.29,0.0843,2,0.0695
1780112820000,2016.44,2016.44,2015.91,2015.91,0.0148,2,0.0
1780112880000,2016.48,2016.48,2016.3,2016.3,0.0148,2,0.0
1780112940000,2016.6,2017.24,2016.6,2017.24,0.0829,3,0.0632
1780113000000,2016.76,2016.76,2016.66,2016.66,0.0148,2,0.0
1780113060000,2017.21,2017.21,2016.7,2016.7,0.0197,2,0.0
1780113300000,2017.04,2017.04,2016.23,2016.23,0.0151,3,0.0
