time,open,high,low,close,volume,trades,taker_buy
1773084300000,9.0,9.05,9.0,9.05,101.69,6,101.36
1773084420000,9.05,9.05,9.05,9.05,14.46,1,14.46
1773084540000,9.06,9.07,9.06,9.07,10.65,4,10.32
1773084600000,9.1,9.1,9.09,9.09,4.82,2,0.33
1773084960000,9.02,9.02,9.02,9.02,0.55,2,0.0
1773085020000,9.02,9.02,8.99,9.0,1.72,3,0.0
1773085320000,9.0,9.0,9.0,9.0,0.99,2,0.0
1773085860000,8.97,8.97,8.97,8.97,3.46,2,0.0
1773086280000,9.0,9.0,9.0,9.0,22.16,1,22.16
1773086760000,9.02,9.02,9.02,9.02,1.1,2,1.1
1773088440000,8.97,8.97,8.94,8.94,1.01,3,0.0
1773089520000,8.96,8.96,8.96,8.96,2.22,1,2.22
1773091080000,8.99,8.99,8.99,8.99,509.1,1,0.0
1773095760000,8.92,8.92,8.92,8.92,5.16,1,0.0
1773095940000,8.91,8.91,8.91,8.91,0.67,1,0.0
1773097380000,8.9,8.91,8.9,8.91,23.16,3,23.16
1773097440000,8.9,8.9,8.9,8.9,0.33,1,0.33
1773097620000,8.91,8.91,8.91,8.91,1.12,1,1.12
1773097680000,8.89,8.95,8.89,8.95,0.98,2,0.33
1773097800000,8.89,8.89,8.89,8.89,0.33,1,0.0
1773098520000,8.9,8.9,8.9,8.9,0.33,1,0.33
1773099900000,8.88,8.88,8.86,8.86,6.65,6,0.33
1773099960000,8.85,8.88,8.85,8.88,4.04,3,3.71
1773100920000,8.85,8.87,8.85,8.87,0.66,2,0.33
1773101040000,8.86,8.86,8.85,8.85,46.12,4,0.0
1773101640000,8.87,8.87,8.87,8.87,4.5,1,4.5
1773101820000,8.86,8.9,8.86,8.9,3.32,2,3.1
1773101880000,8.87,8.89,8.87,8.89,0.65,2,0.33
1773101940000,8.88,8.88,8.88,8.88,0.61,1,0.0
1773102120000,8.88,8.88,8.88,8.88,0.13,1,0.0
1773102180000,8.89,8.89,8.89,8.89,0.12,1,0.0
1773102360000,8.9,8.9,8.9,8.9,0.12,1,0.0
1773102420000,8.91,8.94,8.91,8.94,1.34,4,1.01
1773102720000,8.91,8.91,8.91,8.91,0.12,1,0.0
1773102780000,8.91,8.91,8.91,8.91,0.12,1,0.0
1773102840000,8.91,8.91,8.91,8.91,0.12,1,0.0
1773102900000,8.92,8.92,8.92,8.92,0.12,1,0.0
1773102960000,8.93,8.93,8.93,8.93,4.91,2,0.0
1773103080000,8.93,8.93,8.93,8.93,4.75,1,0.0
1773103500000,8.95,8.95,8.95,8.95,1.21,1,1.21
1773103560000,8.95,8.95,8.95,8.95,1.56,1,1.56
1773103980000,8.9,8.93,8.9,8.93,0.66,2,0.33
1773104700000,8.89,8.91,8.89,8.91,0.66,2,0.33
1773104760000,8.92,8.95,8.92,8.95,0.66,3,0.33
1773106680000,8.89,8.89,8.89,8.89,112.16,2,0.0
1773107160000,8.89,8.89,8.89,8.89,10.42,1,10.42
1773109380000,8.91,8.91,8.91,8.91,0.32,1,0.0
1773109680000,8.91,8.94,8.91,8.94,354.95,3,0.33
1773109800000,8.97,9.01,8.95,9.01,9.89,4,9.56
1773109860000,8.97,8.97,8.97,8.97,3.37,1,0.0
1773109920000,9.0,9.0,9.0,9.0,0.33,1,0.33
1773110100000,9.02,9.04,9.01,9.01,59.38,4,59.05
1773110160000,9.05,9.05,9.05,9.05,14.79,2,14.79
1773110580000,9.06,9.06,9.06,9.06,2.76,1,2.76
1773110940000,9.07,9.07,9.07,9.07,0.55,1,0.55
1773112380000,9.04,9.04,9.04,9.04,0.55,1,0.55
1773114360000,8.97,8.97,8.97,8.97,3.46,2,0.0
1773114660000,8.91,8.93,8.91,8.93,0.66,2,0.33
1773114720000,8.92,8.98,8.92,8.98,0.66,2,0.33
1773114960000,8.93,8.93,8.93,8.93,0.32,1,0.0
1773115020000,8.96,8.96,8.96,8.96,0.33,1,0.33
1773115680000,8.97,8.97,8.97,8.97,1.11,1,1.11
1773115740000,8.97,8.97,8.97,8.97,0.55,1,0.55
1773115920000,8.96,8.99,8.96,8.99,0.66,2,0.33
1773116520000,8.99,9.02,8.99,9.02,0.66,2,0.33
1773117480000,9.02,9.02,9.02,9.02,0.33,1,0.33
