time,open,high,low,close,volume,trades,taker_buy
1779564360000,84.98,85.01,84.98,85.01,0.14,2,0.07
1779564420000,85.03,85.03,85.03,85.03,0.039,1,0.039
1779564540000,85.02,85.08,85.02,85.08,0.465,5,0.262
1779564600000,85.09,85.09,85.09,85.09,0.389,2,0.0
1779565200000,84.88,84.88,84.88,84.88,0.516,1,0.0
1779565320000,84.83,84.83,84.83,84.83,0.06,1,0.0
1779565380000,84.8,84.8,84.8,84.8,0.117,1,0.0
1779565860000,84.98,84.98,84.98,84.98,0.131,1,0.131
1779565920000,84.9,84.9,84.89,84.89,0.265,2,0.265
1779566100000,84.88,84.88,84.88,84.88,0.527,1,0.527
1779566460000,84.94,84.94,84.92,84.92,0.953,3,0.953
1779566640000,84.94,84.94,84.94,84.94,0.07,1,0.07
1779567000000,85.03,85.04,85.03,85.04,0.298,2,0.0
1779567060000,85.05,85.06,85.02,85.02,3.13,3,0.13
1779567540000,85.09,85.1,85.09,85.1,0.2,2,0.07
1779567660000,85.09,85.12,85.09,85.12,0.266,2,0.0
1779568200000,84.83,84.83,84.83,84.83,0.21,2,0.0
1779568260000,84.96,85.31,84.96,85.27,10.7,17,8.786
1779568320000,85.34,85.43,85.34,85.39,2.623,11,1.095
1779568380000,85.42,85.42,85.29,85.29,5.867,3,0.0
1779568500000,85.39,85.44,85.39,85.44,0.523,4,0.523
1779568560000,85.47,85.53,85.47,85.49,0.981,10,0.782
1779568620000,85.53,86.3,85.53,85.99,296.516,53,282.651
1779568680000,86.17,86.45,86.17,86.45,3.927,20,2.748
1779568740000,86.51,86.51,86.35,86.35,14.147,14,12.569
1779568800000,86.39,86.45,86.39,86.42,1.133,6,0.231
1779568860000,86.58,86.7,86.41,86.41,1.356,6,0.256
1779568920000,86.45,86.47,86.41,86.41,1.275,8,0.779
1779569040000,86.39,86.53,86.39,86.53,10.071,2,10.0
1779569100000,86.47,86.47,86.47,86.47,0.115,1,0.115
1779569160000,86.37,86.37,86.22,86.23,18.434,4,0.0
1779569220000,86.31,86.31,86.31,86.31,12.273,1,12.273
1779569340000,86.59,86.74,86.59,86.64,112.735,13,9.711
1779569400000,86.71,86.71,86.71,86.71,0.127,1,0.127
1779569460000,86.66,86.66,86.61,86.61,1.18,3,0.287
1779569520000,86.61,86.61,86.6,86.6,23.207,2,23.207
1779569640000,86.63,86.63,86.63,86.63,0.058,1,0.058
1779569700000,86.71,86.89,86.71,86.88,27.271,19,26.265
1779569760000,86.9,86.91,86.87,86.9,0.41,6,0.135
1779569820000,86.87,86.88,86.87,86.88,0.523,4,0.523
1779569940000,86.91,87.05,86.91,87.05,1.44,10,1.303
1779570000000,87.06,87.46,87.06,87.4,35.619,38,34.272
1779570060000,87.4,87.43,87.3,87.41,5.13,12,0.48
1779570120000,87.32,87.32,87.08,87.12,1.102,11,1.042
1779570180000,87.02,87.02,86.68,86.73,20.238,13,2.556
1779570240000,86.81,86.84,86.77,86.84,0.905,7,0.905
1779570300000,86.92,86.93,86.91,86.91,1.447,4,1.447
1779570600000,86.97,86.97,86.97,86.97,0.717,1,0.0
1779571020000,86.59,86.64,86.59,86.64,0.186,3,0.126
1779571080000,86.68,86.71,86.68,86.71,0.685,4,0.685
1779571140000,86.71,86.71,86.71,86.71,0.126,1,0.126
1779571260000,86.8,86.8,86.8,86.8,0.06,1,0.06
1779571440000,86.74,86.74,86.74,86.74,0.172,1,0.172
1779571500000,86.59,86.59,86.59,86.59,0.21,2,0.0
1779571560000,86.52,86.59,86.52,86.59,0.36,3,0.263
1779571680000,86.53,86.53,86.52,86.52,0.659,5,0.659
1779571740000,86.37,86.37,86.35,86.35,0.599,5,0.539
1779571800000,86.35,86.35,86.04,86.05,43.383,16,0.69
1779571860000,86.06,86.24,86.06,86.23,1.066,8,1.066
1779571920000,86.22,86.22,86.2,86.2,5.846,2,0.034
1779572040000,86.35,86.37,86.35,86.37,0.325,2,0.06
1779572100000,86.38,86.38,86.38,86.38,0.133,1,0.133
1779572160000,86.5,86.59,86.5,86.59,0.9,6,0.258
1779572220000,86.55,86.55,86.47,86.47,0.253,2,0.253
1779572280000,86.37,86.37,86.35,86.35,0.21,2,0.15
1779572340000,86.31,86.31,86.31,86.31,0.5,1,0.0
1779572640000,86.31,86.31,86.31,86.31,0.174,1,0.174
1779572820000,86.15,86.15,86.15,86.15,0.06,1,0.0
1779572880000,86.13,86.13,86.13,86.13,1.736,1,1.736
1779572940000,86.06,86.06,86.03,86.03,0.397,3,0.397
1779573000000,86.17,86.17,86.17,86.17,0.29,1,0.29
1779573120000,86.26,86.26,86.26,86.26,0.017,1,0.017
1779573300000,86.26,86.26,86.26,86.26,0.155,1,0.155
1779573360000,86.37,86.37,86.37,86.37,0.06,1,0.06
1779573420000,86.36,86.36,86.29,86.29,2.873,2,0.173
1779573480000,86.32,86.32,86.32,86.32,0.387,3,0.387
