time,open,high,low,close,volume,trades,taker_buy
1779745200000,1.3549,1.3549,1.3549,1.3549,52.3,1,0.0
1779745680000,1.3545,1.3545,1.3545,1.3545,8.8,1,0.0
1779745920000,1.3545,1.3545,1.3545,1.3545,67.3,1,0.0
1779746280000,1.3553,1.3553,1.3553,1.3553,0.8,1,0.8
1779746760000,1.3555,1.3555,1.3555,1.3555,1.0,1,1.0
1779746820000,1.3549,1.3549,1.3549,1.3549,7.4,1,7.4
1779747000000,1.3553,1.3553,1.3553,1.3553,11.1,1,11.1
1779747120000,1.3556,1.3556,1.3556,1.3556,220.9,1,220.9
1779747420000,1.3549,1.3549,1.3544,1.3544,30.4,2,30.4
1779747900000,1.3539,1.3544,1.3538,1.3544,300.2,4,14.7
1779747960000,1.354,1.354,1.354,1.354,601.7,1,0.0
1779748200000,1.3507,1.3507,1.349,1.349,2150.5,8,142.5
1779748260000,1.3486,1.3486,1.3486,1.3486,3.6,1,0.0
1779748320000,1.3484,1.3484,1.3482,1.3482,19.2,2,0.0
1779748380000,1.3481,1.3481,1.3481,1.3481,7.4,1,7.4
1779748500000,1.3487,1.3487,1.3487,1.3487,7.8,1,0.0
1779748620000,1.3491,1.3491,1.3491,1.3491,14.8,1,14.8
1779748920000,1.35,1.35,1.35,1.35,8.8,1,8.8
1779749040000,1.3504,1.3504,1.3504,1.3504,0.8,1,0.8
1779749280000,1.351,1.351,1.351,1.351,7.5,1,7.5
1779750060000,1.3495,1.3495,1.3495,1.3495,8.9,1,8.9
1779750660000,1.3507,1.3507,1.3507,1.3507,11.1,1,11.1
1779750840000,1.3501,1.3501,1.3501,1.3501,7.4,1,7.4
1779751140000,1.3513,1.3514,1.3513,1.3514,203.1,2,203.1
1779751200000,1.351,1.351,1.351,1.351,21.6,8,21.6
1779751740000,1.3505,1.3505,1.3505,1.3505,0.8,1,0.8
1779752340000,1.3511,1.3511,1.3511,1.3511,184.7,1,184.7
1779752880000,1.3501,1.3501,1.3501,1.3501,4.5,1,4.5
1779753600000,1.3501,1.3501,1.3501,1.3501,2.0,1,0.0
1779753660000,1.3504,1.3504,1.3504,1.3504,7.4,1,7.4
1779753720000,1.3497,1.3497,1.3497,1.3497,6.6,1,6.6
1779754140000,1.3492,1.3498,1.3492,1.3498,18.5,2,18.5
1779754440000,1.3502,1.3502,1.3502,1.3502,3.7,1,3.7
1779754500000,1.35,1.35,1.35,1.35,0.8,1,0.8
1779754860000,1.3484,1.3484,1.3484,1.3484,15.2,1,15.2
1779754920000,1.3479,1.3479,1.3479,1.3479,23.9,1,23.9
1779755040000,1.3477,1.3477,1.3477,1.3477,13.7,1,13.7
1779755160000,1.3468,1.3468,1.3468,1.3468,20.7,1,0.0
1779755220000,1.3481,1.3481,1.3481,1.3481,36.2,1,0.0
1779755340000,1.3482,1.3482,1.3482,1.3482,2113.8,3,259.5
1779755700000,1.3468,1.3468,1.3467,1.3467,1926.6,2,0.0
1779755760000,1.3467,1.3467,1.3467,1.3467,68.1,1,68.1
1779755880000,1.3443,1.3443,1.3443,1.3443,11.2,1,0.0
1779755940000,1.3448,1.3448,1.3448,1.3448,96.5,1,96.5
1779756180000,1.3435,1.3435,1.3435,1.3435,1.1,1,1.1
1779756240000,1.3425,1.3425,1.3425,1.3425,40.9,1,40.9
1779756300000,1.342,1.342,1.342,1.342,12.0,1,0.0
1779756420000,1.3426,1.3426,1.3426,1.3426,9.2,1,9.2
1779756480000,1.342,1.342,1.3409,1.3409,96.7,2,0.0
1779756540000,1.3421,1.3421,1.3421,1.3421,8.4,1,8.4
1779756600000,1.3408,1.3408,1.3408,1.3408,58.8,2,0.0
1779756660000,1.3405,1.3405,1.34,1.34,1057.9,4,7.5
1779756780000,1.3366,1.3366,1.3361,1.3361,117.4,3,0.0
1779756840000,1.3358,1.3358,1.3356,1.3356,67.9,2,0.0
1779756900000,1.3393,1.3393,1.3393,1.3393,1300.6,1,0.0
1779756960000,1.3413,1.3413,1.3413,1.3413,14.9,1,14.9
1779757080000,1.3413,1.3413,1.3413,1.3413,45.1,1,45.1
1779757200000,1.341,1.341,1.341,1.341,50.0,1,0.0
1779757320000,1.341,1.341,1.341,1.341,100.0,1,0.0
1779757380000,1.3387,1.3387,1.3387,1.3387,288.7,1,288.7
1779757620000,1.3419,1.3419,1.3419,1.3419,9.3,1,9.3
1779757740000,1.3414,1.3414,1.3414,1.3414,3.7,1,3.7
1779757860000,1.3412,1.3415,1.3412,1.3415,19.2,2,9.6
1779757920000,1.3419,1.3433,1.3419,1.3433,48.0,5,28.8
1779757980000,1.3434,1.3434,1.3434,1.3434,9.6,1,0.0
1779758040000,1.3434,1.3434,1.3432,1.3432,1673.8,2,1673.8
1779758340000,1.3444,1.3444,1.3444,1.3444,371.2,1,371.2
1779758580000,1.3428,1.3428,1.3417,1.3417,1658.6,5,0.0
1779758820000,1.341,1.341,1.341,1.341,122.4,1,0.0
1779758880000,1.3424,1.3424,1.3424,1.3424,99.7,1,99.7
1779759360000,1.3398,1.3398,1.3398,1.3398,164.8,1,164.8
1779759540000,1.3398,1.3398,1.3394,1.3394,1649.3,2,0.0
1779760620000,1.34,1.34,1.34,1.34,1087.3,1,1087.3
1779760680000,1.3409,1.3409,1.3409,1.3409,22.8,1,22.8
1779760740000,1.3403,1.3403,1.3403,1.3403,74.5,1,74.5
1779760800000,1.339,1.339,1.339,1.339,7.4,1,7.4
1779760920000,1.3383,1.3384,1.3383,1.3384,103.7,2,103.7
1779760980000,1.3398,1.3398,1.3398,1.3398,9.7,1,9.7
1779761220000,1.3388,1.3388,1.3388,1.3388,11.2,1,11.2
1779761340000,1.3396,1.3396,1.3396,1.3396,9.7,1,9.7
1779761640000,1.3396,1.3396,1.3396,1.3396,11.0,1,0.0
1779761760000,1.3379,1.3379,1.3379,1.3379,9.7,1,0.0
1779762360000,1.3392,1.3392,1.3392,1.3392,9.7,1,9.7
1779762420000,1.3378,1.3378,1.3378,1.3378,9.7,1,0.0
1779762540000,1.338,1.338,1.338,1.338,37.3,1,37.3
1779762900000,1.339,1.339,1.339,1.339,1083.0,1,1083.0
1779762960000,1.339,1.339,1.3388,1.3388,461.0,2,74.6
1779763020000,1.3388,1.3388,1.3388,1.3388,191.6,1,0.0
1779763380000,1.3374,1.3374,1.3374,1.3374,8.8,1,0.0
1779763620000,1.3365,1.3365,1.3365,1.3365,60.0,1,0.0
1779764160000,1.3375,1.3379,1.3375,1.3379,258.0,2,37.3
1779764520000,1.3376,1.3376,1.3376,1.3376,149.3,1,149.3
1779764820000,1.3358,1.3358,1.3358,1.3358,14.9,1,14.9
1779764880000,1.3366,1.3366,1.3366,1.3366,5.2,1,5.2
1779765240000,1.3354,1.3354,1.335,1.335,582.7,3,74.7
1779765360000,1.3358,1.3358,1.3358,1.3358,100.0,1,100.0
1779765540000,1.3361,1.3361,1.3361,1.3361,50.9,1,50.9
1779765720000,1.3367,1.3367,1.3367,1.3367,8.9,1,8.9
1779765960000,1.3364,1.3365,1.3364,1.3365,10400.0,2,10400.0
1779766500000,1.3397,1.3397,1.3397,1.3397,1660.9,1,1660.9
1779766620000,1.3397,1.3397,1.3397,1.3397,2592.6,1,2592.6
1779766740000,1.3402,1.3402,1.3402,1.3402,373.0,1,373.0
1779766800000,1.3389,1.3389,1.3389,1.3389,372.9,1,0.0
1779767340000,1.3402,1.3402,1.3402,1.3402,75.7,1,0.0
1779768060000,1.3405,1.3405,1.3405,1.3405,3.7,1,3.7
1779768120000,1.3404,1.3404,1.3404,1.3404,2.2,1,2.2
1779768180000,1.34,1.34,1.34,1.34,1660.5,1,0.0
1779768480000,1.341,1.341,1.341,1.341,364.9,1,364.9
1779768540000,1.3404,1.3404,1.3404,1.3404,364.8,1,0.0
1779768720000,1.3407,1.3407,1.3407,1.3407,3.7,1,3.7
1779768780000,1.3412,1.3412,1.3412,1.3412,205.3,1,205.3
1779769440000,1.3413,1.3413,1.3413,1.3413,60.0,1,60.0
1779769920000,1.3443,1.3443,1.3443,1.3443,8.0,1,8.0
1779770580000,1.345,1.345,1.345,1.345,300.2,1,0.0
1779770640000,1.3457,1.3459,1.3457,1.3459,22691.1,2,22691.1
1779770700000,1.3463,1.3463,1.3463,1.3463,1652.4,1,1652.4
1779771600000,1.3457,1.3457,1.3457,1.3457,3.1,1,3.1
1779772140000,1.3461,1.3461,1.3461,1.3461,3.7,1,3.7
1779772200000,1.346,1.346,1.346,1.346,18.5,1,18.5
1779773700000,1.349,1.349,1.349,1.349,7.8,1,7.8
1779773760000,1.3502,1.3502,1.3502,1.3502,11.1,1,11.1
1779773940000,1.349,1.349,1.3489,1.3489,166.6,2,0.0
1779774780000,1.3472,1.3472,1.3472,1.3472,370.7,1,370.7
1779774840000,1.3473,1.3474,1.3473,1.3474,371.0,2,371.0
1779774960000,1.3477,1.3477,1.3477,1.3477,370.9,1,0.0
1779775200000,1.348,1.348,1.348,1.348,370.9,1,370.9
1779775440000,1.3471,1.3471,1.3471,1.3471,1652.1,1,0.0
1779775500000,1.3471,1.3471,1.3471,1.3471,61.9,1,0.0
1779775560000,1.3477,1.3477,1.3477,1.3477,37.0,1,37.0
1779775680000,1.3474,1.3479,1.3474,1.3479,13.0,2,3.7
1779776280000,1.3469,1.3469,1.3469,1.3469,370.9,1,0.0
1779776760000,1.3473,1.3473,1.3473,1.3473,1000.0,1,1000.0
1779777060000,1.3469,1.3469,1.3469,1.3469,5.4,1,0.0
1779777420000,1.3481,1.3481,1.3481,1.3481,7.4,1,7.4
1779778140000,1.349,1.349,1.349,1.349,13.4,1,13.4
1779778320000,1.3486,1.3486,1.3485,1.3485,77.9,2,0.0
1779778380000,1.3492,1.3492,1.3492,1.3492,39.8,1,39.8
1779778920000,1.3487,1.3487,1.3484,1.3484,3704.6,3,0.0
1779781320000,1.3406,1.3406,1.3406,1.3406,49.0,1,0.0
1779781380000,1.341,1.341,1.341,1.341,372.8,1,372.8
1779782160000,1.3405,1.3405,1.3405,1.3405,536.9,1,0.0
